診療科,DPC包括,入院料,治療食,食事療養,指導料,在宅料,処方,注射,処置,手術,手術薬剤,手術材料,麻酔,輸血,検査,画像,リハ・精神・放治,その他保険外,選定療養,合計,延患者数
循環器内科,"5,455,567","1,776,437","15,741","238,066","56,279","31,348","235,184","28,924","57,627","2,613,617","67,427","9,177,549","71,669","94,194","262,503","20,654","224,596","1,696",706,"20,429,781","1,454"
脳神経内科,"1,531,019","574,784","2,850","73,954","9,391","4,714","38,035","143,001","5,178",0,0,0,"7,697","3,128","25,227","10,015","63,881",367,64,"2,493,303",451
糖尿病科,"303,562","70,810","1,214","14,224","6,188","18,691","11,977","1,720","1,671",0,0,0,0,"1,035","6,619",882,"12,014",28,0,"450,635",87
精神神経科,0,109,0,0,566,0,173,0,0,0,0,0,0,0,61,0,"22,058",0,0,"22,967",0
小児科,"35,351","8,241",12,714,318,0,"2,773","3,369",0,0,0,0,0,0,"1,397","1,066","1,535",0,0,"54,777",10
外科,"4,540,094","1,320,516","2,852","146,031","38,356","3,581","97,262","134,149","22,621","3,525,425","55,764","379,101","1,199,829","181,377","147,546","27,901","168,634","1,505",64,"11,992,607","1,163"
脳神経外科,"2,832,175","1,252,171","2,533","121,912","28,746",522,"46,698","154,690","9,010","1,022,988","35,039","696,784","177,863","28,528","28,334","61,816","112,375",440,0,"6,612,622",725
整形外科,"2,587,848","617,782","3,561","153,076","32,108","2,275","58,152","28,808","4,035","1,898,255","25,411","1,579,006","700,639","38,171","23,840","19,492","120,099",199,64,"7,892,820",889
心臓血管外科,"1,556,038","779,062","2,226","53,962","11,198",238,"21,629",949,"295,346","2,111,310","120,218","1,751,055","474,449","243,250","13,254","4,971","46,027",183,0,"7,485,364",316
産婦人科,"692,942","91,376",265,"23,233","8,783",300,"15,105",485,7,"602,355","6,330","57,783","222,773","6,413","25,783",901,"26,110",101,0,"1,781,045",169
皮膚科,"289,638","45,233",358,"14,577","1,861","1,266","8,670","4,183","1,859","15,500",48,0,1,0,"6,161",205,"12,511",46,0,"402,116",85
泌尿器科,"1,053,626","179,162","1,839","45,669","12,940","2,621","22,130","38,670",320,"678,039","11,348","108,741","324,303","5,773","46,755","2,540","44,662",46,0,"2,579,182",304
眼科,"1,318,900","256,346","1,724","57,667","20,556",138,"44,902","7,179",4,"2,152,335","107,972",995,"31,050",0,"3,576",950,"58,714",3,0,"4,063,010",411
耳鼻咽喉科,"847,032","186,253",208,"34,647","23,592",384,"29,863","1,656",36,"1,320,840","6,684","3,387","307,852",0,"32,368","1,917","34,940",0,128,"2,831,787",248
放射線科,0,0,0,0,"7,954",0,50,0,0,0,0,0,0,0,0,"2,318","333,084",0,0,"343,406",0
麻酔科,0,38,0,0,46,0,23,272,0,288,0,5,"2,437",820,0,0,0,0,0,"3,928",0
リハビリテーション科,0,0,0,0,"2,425",0,5,0,0,0,0,0,"4,094",0,187,0,"518,857",0,0,"525,568",0
形成外科,"214,100","59,906",532,"13,388","2,753",106,"7,051","2,639","12,266","133,827","1,154","14,010","74,483","2,601","6,406","1,769","11,882",0,0,"558,871",83
救急診療科,669,"1,510",0,18,"2,854",67,27,861,29,0,0,0,0,"1,366","5,549","5,779",30,55,0,"18,813",0
消化器内科,"4,008,491","994,887","4,772","124,779","28,435","6,524","104,523","174,088","7,525","1,052,882","44,375","390,424",906,"109,676","216,067","23,473","155,769","1,100",449,"7,449,146","1,075"
腎臓内科,"550,135","129,828","2,382","28,784","8,466","7,041","18,022","6,260","502,526","14,496",678,"64,054",199,"5,143","17,451","3,053","25,164",46,0,"1,383,727",170
リウマチ膠原病痛風,"838,335","270,902","1,453","42,218","5,578","2,544","22,478","63,103","1,005",0,0,0,0,"7,914","25,787","11,209","33,796",523,64,"1,326,909",257
呼吸器内科,"2,615,674","848,176","1,956","121,944","19,747","38,164","127,126","284,996","10,842",0,0,0,14,"22,558","112,701","24,894","117,541","1,769",64,"4,348,166",809
緩和ケア外来,0,"64,123",0,0,"2,633",8,"1,621","1,214",0,0,0,0,0,0,4,0,0,0,0,"69,602",0
合計,"31,271,196","9,527,652","46,478","1,308,861","331,773","120,530","913,478","1,081,215","931,905","17,142,156","482,446","14,222,893","3,600,257","751,946","1,007,575","225,805","2,144,279","8,105","1,604","85,120,153","8,704"
