診療科,DPC包括,入院料,治療食,食事療養,指導料,在宅料,処方,注射,処置,手術,手術薬剤,手術材料,麻酔,輸血,検査,画像,リハ・精神・放治,その他保険外,選定療養,合計,延患者数
循環器内科,"657,950","-83,398","3,189","43,061","1,731","5,057","-57,585","297,138","-33,721","-264,743","-13,257","-1,010,260","-1,516","27,489",490,"9,006","64,219",-46,-706,"-355,901",164
脳神経内科,"10,049","-140,950","-1,161","-2,437","3,374","21,942","-8,573","-134,423","-1,678",0,0,0,"-7,697",-161,"-18,646","-5,120","14,053",-367,-64,"-271,857",-49
糖尿病科,"-79,586","-3,205",-516,"-1,888","-2,578","7,938","-5,049","1,639","-1,671",0,0,0,0,"-1,035","-4,035",343,-272,-28,0,"-89,943",-15
精神神経科,0,-109,0,0,974,0,286,0,0,0,0,0,0,0,-61,0,"-12,408",0,0,"-11,318",0
小児科,"34,037","-1,466",-12,396,-168,0,-278,"-3,369",0,0,0,0,0,0,"-1,397","-1,066",910,0,0,"27,587",5
外科,"410,700","587,514",976,"29,579","9,424","2,905","30,145","231,839","-19,267","860,131","15,426","79,301","102,459",-405,"42,008","19,193","47,860",-955,-64,"2,448,769",165
脳神経外科,"-186,453","-226,512",-493,"16,298","3,049","4,215","61,561","-153,049",726,"-536,994","-20,421","-423,449","-91,527","-28,528","-5,426","9,821","28,842",110,0,"-1,548,229",43
整形外科,"-608,902","-220,606",282,"-34,659","-6,662","-2,275","-14,351","-27,523",25,"-446,345","-7,539","-618,194","-201,311","-1,384","-16,747","-12,488","-10,580",-54,-64,"-2,229,377",-221
心臓血管外科,"-154,539","-115,317",570,"-10,527",242,-238,"-3,276",-789,"-171,196","-520,200","1,055","-406,085","-58,006","-8,098","-6,774","-2,171","-6,249",367,0,"-1,461,230",-72
産婦人科,"-193,930","-4,399",-196,"-9,667",417,-300,"-4,190",-437,6,"337,348","6,449","47,872","62,356","12,006","2,607",-901,"-5,868",-101,0,"249,072",-45
皮膚科,"-113,927","-17,276",-358,"-7,534",-771,"-1,266","-3,892","-4,183","-1,859","-9,330",-2,0,-1,0,"4,361",-30,"-5,170",-46,0,"-161,283",-40
泌尿器科,"-154,435","9,607",309,"-9,451","3,375","-2,621","-2,004","249,269",-318,"60,709","6,030","12,456","21,925",-596,530,-860,"-2,264",-46,0,"191,615",-44
眼科,"-195,816","-63,348",-265,"-17,329","-2,541",-138,"-5,984","-7,179",-4,"135,193","-5,819","1,955","-15,613",0,"-2,791",-950,"-6,856",-3,0,"-187,487",-93
耳鼻咽喉科,"-93,696","1,260",-122,"-2,715","-7,232",-384,849,529,-36,"266,544","-1,872","35,839","3,024",0,"-4,898","-1,042","1,433",0,-128,"197,353",-25
放射線科,0,0,0,0,"-1,354",0,-50,0,0,0,0,0,0,0,0,"2,921","67,186",0,0,"68,703",0
麻酔科,0,113,0,0,654,0,-23,-272,0,-288,0,-5,"-2,205","1,723",0,0,0,0,0,-303,0
リハビリテーション科,0,0,0,0,-25,0,-5,0,0,0,0,0,"-4,094",0,-187,0,"-42,659",0,0,"-46,970",0
形成外科,"40,047","-6,120",311,"1,512",848,-106,-502,"-2,351","40,128","27,963",113,"-11,945","21,513","-2,601","-2,121",-894,"1,647",0,0,"107,443",1
救急診療科,-669,-647,0,-18,146,-67,-27,-838,50,0,0,0,0,"1,601","-4,656","-3,119",251,-55,0,"-8,047",-0
消化器内科,"97,896","32,744",-667,503,"5,650","-5,879","3,773","-115,493","1,752","158,998","6,631","98,603",-906,"104,656","18,571","-1,676","21,930",0,321,"427,405",15
腎臓内科,"28,277","15,979",501,"6,483","-2,796","-7,041","11,736","-4,580","-168,145","5,564",-368,"3,026",-133,34,"-4,175",442,"8,257",504,0,"-106,434",35
リウマチ膠原病痛風,"-54,104","-74,098",-446,"-10,893",307,"-2,544","-10,415","-61,480","-1,005",0,0,0,0,"-7,914","-20,873","-5,267",-852,-523,706,"-249,401",-55
呼吸器内科,"126,395","-162,583",-21,"-12,792","1,934","-1,551","-75,503","110,656","-4,423",0,0,0,-14,"26,379","-75,789","-14,519","5,786",981,-64,"-75,129",-53
緩和ケア外来,0,"-6,693",0,0,-233,-8,"3,206",-752,0,0,0,0,0,0,-4,0,0,0,0,"-4,483",0
合計,"-430,706","-479,511","1,881","-22,078","7,763","17,642","-80,150","374,353","-360,634","74,551","-13,572","-2,190,885","-171,746","123,167","-100,013","-8,379","169,196",-261,-64,"-3,089,447",-284
