診療科,初診料,再診料,指導料,在宅料,処方,注射,処置,手術,手術薬剤,手術材料,麻酔,輸血,検査,画像,リハ・精神・放治,その他保険外,選定療養,合計,延患者数
循環器内科,"38,628","112,000","165,582","433,813","77,962","1,640,978","11,041",0,0,0,654,0,"1,289,241","944,804","7,357","4,440","22,440","4,748,940","1,965"
脳神経内科,"17,126","52,517","99,752","88,734","39,924","3,115,554",0,0,0,0,"52,377","7,790","288,685","326,945","1,944",700,"6,380","4,098,428",855
糖尿病科,"5,254","62,503","29,840","485,515","45,800","24,307",0,0,0,0,0,0,"542,463","28,317","1,730","1,205",770,"1,227,704",976
精神神経科,0,"2,899",800,300,"2,020",0,0,0,0,0,0,0,535,0,"12,356",0,0,"18,910",40
小児科,"11,952","19,900","50,798","27,181","12,419","44,916",9,0,0,0,0,0,"114,574","17,167",706,20,"3,850","303,492",291
外科,"20,143","81,182","343,221","16,571","49,047","3,277,001","3,491","31,657",416,0,0,0,"790,125","823,302","8,852",350,"6,820","5,452,178","1,475"
乳癌センター,"4,242",457,"6,000",0,128,0,68,0,0,0,0,0,"45,111","37,433",96,"4,400",0,"97,935",32
脳神経外科,"25,164","35,816","44,783","199,440","18,360","22,449","4,251","9,160","13,926",0,"2,834",0,"132,602","675,218","1,410","1,670","28,710","1,215,793",715
整形外科,"44,426","121,434","65,910","219,719","60,664","347,912","31,526","35,670",37,0,"12,374",0,"221,485","693,590","6,111","5,390","29,590","1,895,838","1,883"
心臓血管外科,"4,052","17,961","8,250","3,730","4,918",821,275,"12,080",75,0,0,"9,031","189,692","89,035",548,0,770,"341,238",311
産婦人科,"15,454","33,365","70,703",300,"11,236","388,007",713,"5,200",25,0,0,"3,670","343,913","144,912","1,258",0,"3,080","1,021,836",569
皮膚科,"26,632","67,247","72,650","1,602,201","48,359","890,074","22,311","8,440",48,0,0,0,"184,528","12,418","2,274","83,705","14,850","3,035,737","1,125"
泌尿器科,"18,499","72,177","116,311","275,608","45,582","1,300,374","59,359","93,380","5,941","13,860",0,"4,833","561,261","432,657","2,268",390,"8,030","3,010,530","1,255"
眼科,"39,467","116,953","75,307",0,"66,036","1,096,521",70,"445,792","15,222",0,"2,840",0,"909,652","36,619","24,653",60,"5,280","2,834,472","1,772"
耳鼻咽喉科,"27,599","51,208","23,019","1,030,071","34,351","37,299","5,186","9,920",0,572,0,0,"397,015","141,209","1,908",20,"10,340","1,769,717",850
放射線科,"5,024","6,491","59,550",0,"5,430","27,359",466,0,0,0,0,0,"32,768","204,356","1,262,382",0,0,"1,603,826",547
麻酔科,606,"2,942","3,942",0,"2,098",0,0,0,0,0,769,0,501,0,88,700,0,"11,646",364
リハビリテーション科,0,"12,993",460,0,0,0,0,0,0,0,0,0,"4,250",0,"69,572",0,0,"87,275",213
形成外科,"7,044","23,615","25,746","4,030","8,041",0,"15,184","92,970",653,"4,520","3,654",0,"71,565","51,026",967,"1,705",990,"311,710",366
救急診療科,"20,136","4,715","19,684","1,300","2,781","6,139","1,211",0,0,0,0,0,"90,099","68,148","1,037",0,"33,440","248,690",85
消化器内科,"37,075","88,048","138,264","6,080","35,734","1,604,982","6,562","376,660","16,702",5,0,"5,230","1,179,679","577,035","91,910","6,222","13,860","4,184,048","1,654"
腎臓内科,"4,991","26,663","41,523","185,068","11,522","32,186","307,004",0,0,0,338,0,"231,744","50,281",798,20,"1,540","893,678",463
リウマチ膠原病痛風,"7,070","53,442","40,934","3,275,137","71,377","1,392,865",0,0,0,0,0,0,"675,176","97,220","1,867",0,"2,310","5,617,398",883
呼吸器内科,"13,167","40,410","61,037","478,823","31,119","1,412,412",775,0,0,0,0,0,"317,427","321,015","1,357",660,"3,740","2,681,942",741
漢方外来,303,"1,377",150,0,"1,206",0,0,0,0,0,0,0,0,0,42,0,0,"3,078",19
緩和ケア外来,0,610,"3,480",0,786,0,0,0,0,0,0,0,0,0,"1,056",0,0,"5,932",18
合計,"394,054","1,108,925","1,567,696","8,333,621","686,900","16,662,156","469,502","1,120,929","53,045","18,957","75,840","30,554","8,614,091","5,772,707","1,504,547","111,657","196,790","46,721,971","19,467"
