診療科,初診料,再診料,指導料,在宅料,処方,注射,処置,手術,手術薬剤,手術材料,麻酔,輸血,検査,画像,リハ・精神・放治,その他保険外,選定療養,合計,延患者数
循環器内科,714,"-16,374","22,266","8,885","-14,791","522,655","-8,671",-350,-5,0,-388,0,"-164,505","111,372","3,838","3,347","3,062","471,054",-206
脳神経内科,"2,014","-4,868","2,063","28,549","-5,064","352,217",-218,0,0,0,"-9,303",326,"-24,534","-31,594",250,275,"-3,593","306,519",-91
糖尿病科,-673,"-2,780","10,677","-11,375","-5,311",-88,-33,0,0,0,0,0,"-19,559","3,553",193,"1,011",-440,"-24,825",-53
精神神経科,-779,"-1,186",-311,250,-833,-6,0,0,0,0,0,0,-828,-195,"-11,380",-47,0,"-15,315",-19
小児科,"-2,268","-4,807",869,"-39,422","-3,073","18,277",-832,0,0,0,0,0,"-56,134","-6,845",-8,-293,"-1,091","-95,626",-70
外科,"3,655",701,"60,498",-407,"4,924","649,520","-7,365","-15,663",-321,-1,-47,"-1,332","81,760","-93,005","5,762","-1,373","-6,453","680,852",78
乳癌センター,-186,-161,"3,678",0,36,"-1,215",51,"-1,040",-4,0,0,0,"6,588","12,801",10,"-1,705",-128,"18,725",3
脳神経外科,"-4,255","-6,757","-4,841","68,254","-2,244","-72,301","3,733","-2,710","-1,683",0,"1,653",0,"-6,460","-42,636",-419,-977,"3,089","-68,554",-101
整形外科,"-16,840","-14,803","11,173","-68,689","-14,237","54,240","-8,309","-23,236",-308,-305,"-1,962",-42,"-22,466","-113,555",275,"-18,404","-25,410","-262,878",-290
心臓血管外科,34,"-2,895","3,709","3,580","-1,438",-596,275,"-4,395",-91,"-1,110",-16,"-5,513","-26,395","-66,474",37,-485,339,"-101,436",-66
産婦人科,"1,744",-803,"5,233",135,636,"126,747","-2,752","1,522",12,-48,0,"-3,171","12,699","-1,078",232,"-1,562",-174,"139,373",12
皮膚科,"-1,997","-2,077","4,597","194,321","-4,749","-99,809","1,391","-5,162",7,0,0,0,"-58,200","-5,162",208,"-22,350","-1,091",-70,-24
泌尿器科,79,"-13,296","20,312","35,166","-6,749","672,812","5,042","-70,173","-1,769","-12,181",0,"4,217","-99,423","-35,605",119,-553,"-2,640","495,359",-156
眼科,"1,566","-17,280","19,914",-79,"-10,713","-276,100",-396,"19,993",421,-98,148,0,"-124,135","-1,257","19,245",-870,"-2,878","-372,519",-234
耳鼻咽喉科,"-7,393","-16,797","-3,155","51,304","-10,039","18,585","-1,165","-2,057",-13,37,0,0,"-100,213","-79,180",-191,-244,"-5,601","-156,122",-321
放射線科,"2,170",489,"12,402",-25,"1,025","-22,314",50,0,0,0,0,0,"-8,930","48,994","363,278",-58,-64,"397,014",123
麻酔科,-181,-335,-131,0,-296,0,-29,0,0,0,-592,0,158,-59,-1,58,-64,"-1,473",-17
リハビリテーション科,-50,40,33,0,-218,0,-33,0,0,0,"-17,112",0,151,-346,"-6,960",-2,0,"-24,497",-25
形成外科,"-2,756","2,224","-3,184","2,343",394,-620,584,"7,966",74,"3,243","3,342",-223,"-7,707","8,039",150,"-1,679","-3,639","8,550",14
救急診療科,"-3,927","-1,531","-5,474","1,042",-642,"-1,206",670,-62,-1,0,0,0,"-10,157","-25,586",25,-130,"-4,033","-51,012",-18
消化器内科,"-8,642","-1,943","29,786","-6,251",-218,"138,111","-4,070","98,384","4,226",-766,0,"1,911","-59,962","-95,313","84,271","4,932","-5,803","178,653",-29
腎臓内科,237,"-5,285","-6,424","4,954","-1,473","8,266","-105,903",0,0,0,-256,"-1,526","-30,221","8,948",1,15,568,"-128,100",-72
リウマチ膠原病痛風,565,"-5,869","-1,251","-332,153","24,483","122,452",-16,0,0,0,0,0,"-60,244","-5,416",457,-655,110,"-257,537",-66
呼吸器内科,"-7,177","-8,402","5,567","9,209","-5,759","81,975",-551,0,0,0,0,-658,"-130,505","-113,096",-171,"-5,912","-7,150","-182,630",-182
漢方外来,253,-322,129,0,-336,0,0,0,0,0,0,0,-296,0,6,0,0,-565,-6
緩和ケア外来,0,295,"1,228",0,235,0,0,0,0,0,0,0,0,0,612,0,0,"2,370",7
合計,"-44,094","-124,824","189,363","-50,411","-56,452","2,291,603","-128,550","3,016",544,"-11,227","-24,533","-6,011","-909,518","-522,692","459,840","-50,510","-63,085","952,460","-1,810"
